# tipo: experimental
# descripcion: Fig. 5 - I-131 cuentas por segundo medidas, segundo experimento
# fase: enfriamiento
# isotopo: I131
# unidad_t: h
# unidad_A: cps
# NOTA: el eje Y original es 'Counts Per Second' (CPS), que NO es ninguna de las
#       unidad_A validas (Bq/cm3 | MBq/g | MBq | mCi). Por eso unidad_A se omite
#       a proposito: segun el spec, si falta, el dialogo de importacion la pregunta.
# fuente: digitalizado de la grafica fig_5_-_exp2
t;A
0,0134;4,253
0,1541;6,541
0,2592;7,073
0,3469;7,846
0,4524;9,441
0,5399;9,860
0,6805;11,729
0,7564;12,365
0,8786;12,076
0,9606;13,058
1,0647;11,399
1,1640;12,140
1,2745;11,721
1,3859;13,324
1,4850;13,743
1,7180;13,639
1,9045;14,155
1,9508;13,446
2,2070;13,293
2,3236;13,599
2,6033;13,720
3,0925;13,793
3,5935;14,011
4,0943;13,834
4,5777;13,810
5,0844;13,811
5,5968;13,698
6,0861;13,675
6,5869;13,715
7,0878;13,675
7,6120;13,668
8,1245;13,628
8,5963;13,854
9,1087;13,605
9,6038;13,597
10,1048;13,911
10,6056;13,670
11,0889;13,526
11,6131;13,671
12,1197;13,381
12,5973;13,503
13,0982;13,479
13,5991;13,471
14,1233;13,568
14,6241;13,545
15,1133;13,336
15,6317;13,384
16,1092;13,425
16,6276;13,498
17,1227;13,555
17,6293;13,233
18,1243;13,298
18,6194;13,379
19,1144;13,202
19,6444;13,315
20,1394;13,130
