# tipo: computacional_referencia
# descripcion: Fig. 6 - Modelo computacional del paper, cuarto experimento
# fase: enfriamiento
# isotopo: I131
# unidad_t: h
# unidad_A: MBq/g
# fuente: digitalizado de Fig. 6 del paper de referencia (cuarto experimento)
t;A
2,0617;8862,472
3,9871;8817,948
6,1051;8766,305
7,9535;8698,667
10,0523;8650,581
12,0162;8591,830
13,9994;8541,969
15,9634;8484,997
18,0043;8431,578
20,0068;8376,382
22,0092;8324,743
26,0527;8207,238
30,1346;8107,513
33,9855;7997,127
38,0096;7897,404
44,0363;7740,707
50,0629;7564,450
87,9555;6638,435
97,9870;6406,911
110,0018;6141,531
119,9370;5933,128
127,9469;5762,136
137,9206;5560,844
145,9305;5411,190
153,8633;5254,426
159,8321;5140,408
165,8588;5033,502
171,8854;4919,482
