# tipo: experimental
# descripcion: Fig. 6 - Actividad I-131 medida, cuarto experimento (MURR, TeO2)
# fase: enfriamiento
# isotopo: I131
# unidad_t: h
# unidad_A: MBq/g
# fuente: digitalizado de Fig. 6 del paper de referencia (cuarto experimento)
t;A
14,5770;7786,206
16,1174;7839,498
17,7540;7866,113
19,3906;7866,055
21,8937;7839,293
25,0707;7776,943
27,7663;7723,501
31,6172;7616,672
34,9867;7572,097
37,7208;7456,416
41,6295;7385,149
44,8064;7329,912
47,9641;7251,558
52,0461;7114,491
56,0317;7036,108
61,8466;6891,866
67,8154;6740,506
75,8060;6564,180
83,8928;6370,068
93,9051;6161,662
101,7994;5978,226
107,8068;5837,534
115,2775;5691,455
127,2537;5458,085
139,4417;5226,485
151,4757;5009,116
163,2979;4791,755
167,2836;4734,711
171,3655;4668,772
