folder,t_irr_fin,t_cool_fin,historial_irr,historial_cool
TeO2Tirr_0p25h,0.25,48.0,"[{""t_fin"": 0.25, ""pasos"": 4}]","[{""t_fin"": 1.5, ""pasos"": 30}, {""t_fin"": 6.0, ""pasos"": 18}, {""t_fin"": 24.0, ""pasos"": 36}, {""t_fin"": 48.0, ""pasos"": 8}]"
TeO2Tirr_0p5h,0.5,48.0,"[{""t_fin"": 0.5, ""pasos"": 4}]","[{""t_fin"": 1.5, ""pasos"": 30}, {""t_fin"": 6.0, ""pasos"": 18}, {""t_fin"": 24.0, ""pasos"": 36}, {""t_fin"": 48.0, ""pasos"": 8}]"
TeO2Tirr_1h,1.0,48.0,"[{""t_fin"": 1.0, ""pasos"": 4}]","[{""t_fin"": 1.5, ""pasos"": 30}, {""t_fin"": 6.0, ""pasos"": 18}, {""t_fin"": 24.0, ""pasos"": 36}, {""t_fin"": 48.0, ""pasos"": 8}]"
TeO2Tirr_2h,2.0,48.0,"[{""t_fin"": 2.0, ""pasos"": 4}]","[{""t_fin"": 1.5, ""pasos"": 30}, {""t_fin"": 6.0, ""pasos"": 18}, {""t_fin"": 24.0, ""pasos"": 36}, {""t_fin"": 48.0, ""pasos"": 8}]"
TeO2Tirr_4h,4.0,48.0,"[{""t_fin"": 4.0, ""pasos"": 4}]","[{""t_fin"": 1.5, ""pasos"": 30}, {""t_fin"": 6.0, ""pasos"": 18}, {""t_fin"": 24.0, ""pasos"": 36}, {""t_fin"": 48.0, ""pasos"": 8}]"
TeO2Tirr_7h,7.0,48.0,"[{""t_fin"": 7.0, ""pasos"": 4}]","[{""t_fin"": 1.5, ""pasos"": 30}, {""t_fin"": 6.0, ""pasos"": 18}, {""t_fin"": 24.0, ""pasos"": 36}, {""t_fin"": 48.0, ""pasos"": 8}]"
TeO2Tirr_12h,12.0,48.0,"[{""t_fin"": 12.0, ""pasos"": 4}]","[{""t_fin"": 1.5, ""pasos"": 30}, {""t_fin"": 6.0, ""pasos"": 18}, {""t_fin"": 24.0, ""pasos"": 36}, {""t_fin"": 48.0, ""pasos"": 8}]"
TeO2Tirr_20h,20.0,48.0,"[{""t_fin"": 20.0, ""pasos"": 7}]","[{""t_fin"": 1.5, ""pasos"": 30}, {""t_fin"": 6.0, ""pasos"": 18}, {""t_fin"": 24.0, ""pasos"": 36}, {""t_fin"": 48.0, ""pasos"": 8}]"
TeO2Tirr_32h,32.0,48.0,"[{""t_fin"": 32.0, ""pasos"": 11}]","[{""t_fin"": 1.5, ""pasos"": 30}, {""t_fin"": 6.0, ""pasos"": 18}, {""t_fin"": 24.0, ""pasos"": 36}, {""t_fin"": 48.0, ""pasos"": 8}]"
TeO2Tirr_50h,50.0,48.0,"[{""t_fin"": 50.0, ""pasos"": 17}]","[{""t_fin"": 1.5, ""pasos"": 30}, {""t_fin"": 6.0, ""pasos"": 18}, {""t_fin"": 24.0, ""pasos"": 36}, {""t_fin"": 48.0, ""pasos"": 8}]"
TeO2Tirr_75h,75.0,48.0,"[{""t_fin"": 75.0, ""pasos"": 25}]","[{""t_fin"": 1.5, ""pasos"": 30}, {""t_fin"": 6.0, ""pasos"": 18}, {""t_fin"": 24.0, ""pasos"": 36}, {""t_fin"": 48.0, ""pasos"": 8}]"
TeO2Tirr_100h,100.0,48.0,"[{""t_fin"": 100.0, ""pasos"": 34}]","[{""t_fin"": 1.5, ""pasos"": 30}, {""t_fin"": 6.0, ""pasos"": 18}, {""t_fin"": 24.0, ""pasos"": 36}, {""t_fin"": 48.0, ""pasos"": 8}]"
TeO2Tirr_125h,125.0,48.0,"[{""t_fin"": 125.0, ""pasos"": 42}]","[{""t_fin"": 1.5, ""pasos"": 30}, {""t_fin"": 6.0, ""pasos"": 18}, {""t_fin"": 24.0, ""pasos"": 36}, {""t_fin"": 48.0, ""pasos"": 8}]"
TeO2Tirr_150h,150.0,48.0,"[{""t_fin"": 150.0, ""pasos"": 50}]","[{""t_fin"": 1.5, ""pasos"": 30}, {""t_fin"": 6.0, ""pasos"": 18}, {""t_fin"": 24.0, ""pasos"": 36}, {""t_fin"": 48.0, ""pasos"": 8}]"
