# ESTRUCTURA DE ENERGIA VITAMIN-J+ (211 GRUPOS)  --  fronteras en eV
#
# Fuente primaria : ENEA, informe tecnico ADPFISS-LP1-107, Tabla 2
#                   'Energy group boundaries of the Vitamin-J+ (211-energy group structure)'
#                   https://iris.enea.it/retrieve/dd11e37c-dbb1-5d97-e053-d805fe0a6f04/ADPFISS-LP1-107.pdf
#                   NOTA: la columna de la tabla original esta escalada; los valores aqui
#                   son los de la tabla multiplicados por 1E-4 para expresarlos en eV
#                   (equivalentemente, x1E-10 para MeV).
# Validacion       : las 175 fronteras inferiores de los grupos 37..211 coinciden con la
#                   Tabla III.1 del manual ACAB v.2008 (Vitamin-J 175 grupos, Emin en MeV)
#                   dentro del redondeo a 3 cifras del manual: 0 discrepancias > 0,5 %.
#                   Los grupos 1..36 son la extension 20 -> 55 MeV en 36 intervalos de
#                   1,000 MeV descrita en el texto del manual (pag. 26).
# Correspondencia  : grupo Vitamin-J n  <->  grupo Vitamin-J+ g = n + 36
# Orden            : descendente en energia (grupo 1 = 55 MeV ... grupo 211 = 1E-5 eV)
# Uso en COLLAPS   : ILIB = IESF = 12 ; NGROUP negativo (orden descendente)
#
# grupo   E_sup(eV)      E_inf(eV)
     1    5.500000E+07   5.400000E+07
     2    5.400000E+07   5.300000E+07
     3    5.300000E+07   5.200000E+07
     4    5.200000E+07   5.100000E+07
     5    5.100000E+07   5.000000E+07
     6    5.000000E+07   4.900000E+07
     7    4.900000E+07   4.800000E+07
     8    4.800000E+07   4.700000E+07
     9    4.700000E+07   4.600000E+07
    10    4.600000E+07   4.500000E+07
    11    4.500000E+07   4.400000E+07
    12    4.400000E+07   4.300000E+07
    13    4.300000E+07   4.200000E+07
    14    4.200000E+07   4.100000E+07
    15    4.100000E+07   4.000000E+07
    16    4.000000E+07   3.900000E+07
    17    3.900000E+07   3.800000E+07
    18    3.800000E+07   3.700000E+07
    19    3.700000E+07   3.600000E+07
    20    3.600000E+07   3.500000E+07
    21    3.500000E+07   3.400000E+07
    22    3.400000E+07   3.300000E+07
    23    3.300000E+07   3.200000E+07
    24    3.200000E+07   3.100000E+07
    25    3.100000E+07   3.000000E+07
    26    3.000000E+07   2.900000E+07
    27    2.900000E+07   2.800000E+07
    28    2.800000E+07   2.700000E+07
    29    2.700000E+07   2.600000E+07
    30    2.600000E+07   2.500000E+07
    31    2.500000E+07   2.400000E+07
    32    2.400000E+07   2.300000E+07
    33    2.300000E+07   2.200000E+07
    34    2.200000E+07   2.100000E+07
    35    2.100000E+07   2.000000E+07
